,Part_id,R^2,Intercept,Slope,First_block_corr,Raven,TAO
0,100M32,0.00337,0.90972,-0.00063,0.8125,0.6388888889,TAO
1,101M20,0.06788,0.80972,-0.00631,0.7916666666666666,0.4444444444,TAO
2,102M19,0.3214,0.675,-0.01629,0.4583333333333333,0.2222222222,TAO
3,103K19,0.3633,0.74167,0.01439,0.7916666666666666,0.5277777778,TAO
4,104K22,0.1137,0.84028,0.00556,0.7708333333333334,0.6944444444,TAO
5,105K20,0.28498,0.88472,-0.02071,0.875,0.4444444444,TAO
6,106M23,0.53951,0.76528,0.0154,0.7916666666666666,0.75,TAO
7,107K20,0.7393,0.79861,0.01692,0.9791666666666666,0.75,TAO
8,108K22,0.03647,0.74167,0.00644,0.7916666666666666,0.6111111111,TAO
9,109K29,0.12342,0.57917,0.00871,0.6041666666666666,0.3888888889,TAO
10,10K20,0.05846,0.83194,0.00593,0.8125,0.5555555556,TAO
11,110M23,0.02082,0.78194,0.00328,0.6458333333333334,0.75,TAO
12,111K20,0.08802,0.71389,0.0077,0.8958333333333334,0.75,TAO
13,112M20,0.2949,0.81528,0.01086,0.875,0.5555555556,TAO
14,113K22,0.47185,0.55278,0.02146,0.8125,0.4722222222,TAO
15,114K23,0.31339,0.45139,0.02778,0.6875,0.4722222222,TAO
16,115K22,0.33797,0.54583,0.02235,0.7916666666666666,0.6944444444,TAO
17,116K20,0.01941,0.84028,-0.00354,0.875,0.6666666667,TAO
18,117M22,0.51313,0.33611,-0.01452,0.22916666666666666,0.1944444444,TAO
19,118K23,0.01242,0.28889,-0.00253,0.4166666666666667,0.1944444444,TAO
20,119K22,0.16441,0.75139,-0.01162,0.6458333333333334,0.6944444444,TAO
21,11K19,0.00808,0.88333,-0.00152,0.9583333333333334,0.5,TAO
22,120K25,0.55129,0.94444,-0.01869,0.75,0.5833333333,TAO
23,121M28,0.05092,0.70278,0.00442,0.625,0.6388888889,TAO
24,122K19,0.07643,0.74306,0.00391,0.8333333333333334,0.5555555556,TAO
25,123K20,0.06588,0.68333,-0.00758,0.7291666666666666,0.5833333333,TAO
26,124K21,0.74291,0.66389,0.02134,0.7291666666666666,0.5,TAO
27,125K20,0.00564,0.85694,0.00101,0.8125,0.5,TAO
28,126K30,0.07046,0.55278,-0.00694,0.1875,0.4722222222,TAO
29,127K22,0.13072,0.8375,0.00341,0.8333333333333334,0.6111111111,TAO
30,128K27,0.18822,0.69583,0.01061,0.6875,0.8611111111,TAO
31,129M29,0.54189,0.97083,-0.01402,0.9375,0.5277777778,TAO
32,12M22,0.73818,0.55556,0.03876,0.4375,0.1944444444,TAO
33,130M22,0.23693,0.8375,-0.01136,0.75,0.6388888889,TAO
34,131M20,0.01652,0.8625,0.00265,0.875,0.6666666667,TAO
35,132K22,0.42285,0.92917,0.00492,1.0,0.6111111111,TAO
36,133K23,0.30019,0.63194,0.01427,0.8333333333333334,0.4166666667,TAO
37,134M23,0.14903,0.90694,-0.00732,1.0,0.75,TAO
38,135K27,0.03606,0.71667,-0.00303,0.8541666666666666,0.5,TAO
39,136K22,0.39781,0.63472,0.01793,0.5208333333333334,0.4166666667,TAO
40,137K28,0.36353,0.85556,-0.02412,0.6458333333333334,0.3888888889,TAO
41,138M21,0.71207,0.90139,-0.05896,0.7916666666666666,0.5833333333,TAO
42,139M18,0.17996,0.73889,0.01111,0.8333333333333334,0.7777777778,TAO
43,140M21,0.23465,0.575,0.01629,0.6666666666666666,0.3888888889,TAO
44,141K20,0.62585,0.53611,0.03813,0.6666666666666666,0.5277777778,TAO
45,142K20,0.10745,0.66944,0.00859,0.8541666666666666,0.4444444444,TAO
46,143K20,0.50986,0.71389,0.01982,0.6875,0.1388888889,TAO
47,144K21,0.53589,0.66667,0.01629,0.8125,0.6388888889,TAO
48,145K21,0.54524,0.8625,-0.01932,0.7083333333333334,0.5833333333,TAO
49,146M21,0.00359,0.81806,-0.00101,0.7083333333333334,0.3888888889,TAO
50,147K25,0.01659,0.69167,-0.00417,0.75,0.8333333333,TAO
51,148M29,0.48027,0.76667,-0.01439,0.8333333333333334,0.4722222222,TAO
52,149K25,0.00241,0.66528,0.00139,0.5208333333333334,0.3611111111,TAO
53,14K19,0.13267,0.77778,0.00821,0.875,0.6111111111,TAO
54,150K31,0.18363,0.65,-0.00985,0.6666666666666666,0.6944444444,TAO
55,151K25,0.07486,0.78889,-0.00783,0.8125,0.3611111111,TAO
56,15K25,0.0234,0.64861,0.00366,0.6458333333333334,0.5833333333,TAO
57,16K23,0.12467,0.74861,-0.0096,0.75,0.5555555556,TAO
58,17M21,0.14076,0.81667,0.00606,0.9375,0.5833333333,TAO
59,18K18,0.24757,0.91111,-0.01263,0.8541666666666666,0.5555555556,TAO
60,19K25,0.09712,0.89028,-0.0077,0.8541666666666666,0.5833333333,TAO
61,20K19,0.04862,0.7875,-0.00606,0.9375,0.5833333333,TAO
62,21K25,0.0438,0.64444,-0.00581,0.625,0.5555555556,TAO
63,22M27,0.1566,0.89444,-0.01604,0.8125,0.4722222222,TAO
64,23K28,0.0083,0.675,0.00341,0.7708333333333334,0.5,TAO
65,24K25,0.00059,0.66111,0.00063,0.7083333333333334,0.6111111111,TAO
66,25M34,0.41167,0.54722,0.01641,0.625,0.3611111111,TAO
67,26K19,0.38636,0.82917,0.01288,0.9166666666666666,0.6944444444,TAO
68,27M22,0.49963,0.84028,0.01313,0.9583333333333334,0.6666666667,TAO
69,28K24,0.03998,0.44444,0.00669,0.20833333333333334,0.4722222222,TAO
70,29M20,0.0092,0.85,-0.00189,0.9791666666666666,0.6944444444,TAO
71,30K29,0.2607,0.62917,0.01932,0.4375,0.6111111111,TAO
72,31K25,0.27112,0.91944,-0.00732,0.8541666666666666,0.8055555556,TAO
73,32M29,0.0023,0.90139,-0.00063,0.9375,0.8333333333,TAO
74,33K20,0.13706,0.87083,-0.01061,0.75,0.3888888889,TAO
75,34K22,0.03303,0.85694,-0.00278,0.8958333333333334,0.7222222222,TAO
76,35K26,0.6323,0.5125,0.02727,0.8125,0.3611111111,TAO
77,36K20,0.11307,0.73611,-0.01263,0.8541666666666666,0.5555555556,TAO
78,37K24,0.0766,0.83611,0.00518,0.8125,0.6944444444,TAO
79,38M23,0.62303,0.88056,-0.02601,0.9166666666666666,0.7222222222,TAO
80,39K22,0.26647,0.91389,-0.01389,0.9375,0.7222222222,TAO
81,40K24,0.06226,0.78056,0.00657,0.8333333333333334,0.3611111111,TAO
82,41K19,0.00902,0.76667,-0.00152,0.75,0.4444444444,TAO
83,42K18,0.15779,0.90417,-0.01174,0.875,0.5277777778,TAO
84,43K19,0.01139,0.21944,0.00215,0.3125,0.5555555556,TAO
85,44K19,0.14761,0.24028,-0.00694,0.2708333333333333,0.3888888889,TAO
86,45M23,0.29539,0.8625,-0.02652,0.9166666666666666,0.5833333333,TAO
87,46K21,0.00044,0.85,-0.00038,0.875,0.4722222222,TAO
88,47K22,0.67608,0.77222,-0.04343,0.8541666666666666,0.6388888889,TAO
89,48K23,0.66539,0.7375,-0.03106,0.5833333333333334,0.3888888889,TAO
90,49K22,0.00616,0.91528,-0.00088,0.8333333333333334,0.4722222222,TAO
91,4K20,0.45471,0.94167,-0.01629,0.875,0.5833333333,TAO
92,50M22,0.46306,0.52083,0.02689,0.625,0.5277777778,TAO
93,51K26,0.01769,0.475,-0.00341,0.20833333333333334,0.6388888889,TAO
94,52K20,0.10784,0.79306,-0.00556,0.7083333333333334,0.5277777778,TAO
95,53K24,0.29415,0.92222,-0.00783,0.8958333333333334,0.7222222222,TAO
96,54M22,0.30154,0.75278,0.01389,0.7708333333333334,0.5,TAO
97,55K22,0.09756,0.7625,0.00568,0.75,0.6666666667,TAO
98,56K21,0.68838,0.78611,0.00972,0.5833333333333334,0.25,TAO
99,57K22,0.13548,0.65972,0.01035,0.8333333333333334,0.3333333333,TAO
100,58M30,0.28872,0.8,0.0072,0.7291666666666666,0.5277777778,TAO
101,59K22,0.04818,0.85556,-0.00366,0.8333333333333334,0.75,TAO
102,5K26,0.0264,0.79306,0.00354,0.7916666666666666,0.6111111111,TAO
103,60M21,0.68074,0.9,-0.0178,0.9166666666666666,0.8611111111,TAO
104,61M21,0.00115,0.89306,-0.00063,0.9375,0.8055555556,TAO
105,62K28,0.33159,0.7375,-0.00985,0.5416666666666666,0.3888888889,TAO
106,63K25,0.02489,0.75972,0.00316,0.6458333333333334,0.5277777778,TAO
107,64K20,0.03634,0.82778,0.00215,0.6458333333333334,0.5833333333,TAO
108,65K18,0.03182,0.84028,0.00366,0.7708333333333334,0.4722222222,TAO
109,66M19,0.18107,0.72639,0.01111,0.7083333333333334,0.6666666667,TAO
110,67K32,0.1142,0.77222,-0.00783,0.9791666666666666,0.5555555556,TAO
111,68M27,0.00948,0.80417,-0.00265,0.9791666666666666,0.6944444444,TAO
112,69K21,0.08978,0.73194,-0.00694,0.7291666666666666,0.6944444444,TAO
113,6K28,0.19254,0.45278,0.01086,0.5833333333333334,0.4444444444,TAO
114,70M21,0.05748,0.83472,-0.00669,0.8541666666666666,0.75,TAO
115,71K27,0.01034,0.74028,0.00366,0.7708333333333334,0.6388888889,TAO
116,72K20,0.09706,0.75417,-0.00833,0.75,0.5277777778,TAO
117,73M21,0.28852,0.96528,-0.00657,0.9375,0.5277777778,TAO
118,74K26,0.22777,0.77639,-0.01086,0.5416666666666666,0.4722222222,TAO
119,75K22,0.09922,0.68472,0.0096,0.8958333333333334,0.75,TAO
120,76M25,0.06175,0.86667,0.00455,0.8125,0.5,TAO
121,77K30,0.01437,0.84444,-0.00202,0.8958333333333334,0.6111111111,TAO
122,78K22,0.3575,0.69861,0.02336,0.7916666666666666,0.6111111111,TAO
123,79M24,0.33633,0.53611,0.02525,0.7291666666666666,0.4722222222,TAO
124,7M25,0.76898,0.67639,-0.04571,0.6041666666666666,0.3333333333,TAO
125,80K22,0.18061,0.72083,-0.00758,0.7083333333333334,0.4444444444,TAO
126,81M21,0.02029,0.70417,-0.00341,0.625,0.5833333333,TAO
127,82K25,0.18057,0.79028,0.00859,0.875,0.7222222222,TAO
128,83M19,0.01629,0.88056,-0.00253,0.9166666666666666,0.6388888889,TAO
129,84M20,0.38153,0.58611,0.01578,0.5625,0.5277777778,TAO
130,85M26,0.07775,0.79444,0.00593,0.7291666666666666,0.5,TAO
131,86K20,0.27088,0.65417,-0.01591,0.625,0.6388888889,TAO
132,87K19,0.01006,0.25833,-0.00227,0.2708333333333333,0.4444444444,TAO
133,88K32,1.0,0.0,0.0,0.0,0.1111111111,TAO
134,89K29,0.03077,0.85278,0.0029,0.8333333333333334,0.3888888889,TAO
135,8M24,0.35922,0.92361,-0.02323,0.8958333333333334,0.5,TAO
136,90M26,0.03445,0.7875,0.00455,0.9166666666666666,0.5833333333,TAO
137,91M22,0.46664,0.7625,-0.02273,0.8125,0.5,TAO
138,92M28,0.21828,0.4125,-0.01591,0.2708333333333333,0.5833333333,TAO
139,93K19,0.5948,0.51944,0.03283,0.5416666666666666,0.6944444444,TAO
140,94K23,0.01338,0.80139,0.00202,0.875,0.75,TAO
141,95K20,0.12313,0.57917,-0.01932,0.5833333333333334,0.25,TAO
142,96K22,0.37604,0.95139,-0.01086,0.875,0.5555555556,TAO
143,97K21,0.28592,0.62917,0.01932,0.8541666666666666,0.4444444444,TAO
144,98K28,0.1696,0.50972,-0.01237,0.5833333333333334,0.1944444444,TAO
145,99M27,0.04539,0.72222,-0.0048,0.7083333333333334,0.6666666667,TAO
146,9M24,0.76879,0.97639,-0.01995,0.8958333333333334,0.7777777778,TAO
